,time,open,high,low,close,tick_volume,spread,real_volume
11509,1568131200,107.351,107.467,107.294,107.397,7241,1,0
11510,1568138400,107.397,107.528,107.37,107.527,4922,1,0
11511,1568145600,107.527,107.589,107.486,107.518,4690,1,0
11512,1568152800,107.518,107.627,107.498,107.602,3410,1,0
11513,1568160000,107.602,107.654,107.546,107.617,7548,1,0
11514,1568167200,107.618,107.74,107.606,107.728,4293,1,0
11515,1568174400,107.728,107.849,107.709,107.805,6364,1,0
11516,1568181600,107.805,107.832,107.66,107.803,6192,1,0
11517,1568188800,107.803,107.826,107.683,107.704,4516,1,0
11518,1568196000,107.704,107.753,107.666,107.722,2908,1,0
11519,1568203200,107.722,107.812,107.686,107.733,7953,1,0
11520,1568210400,107.733,107.757,107.626,107.733,6169,1,0
11521,1568217600,107.733,107.802,107.722,107.754,4283,1,0
11522,1568224800,107.754,107.838,107.752,107.83,2234,1,0
11523,1568232000,107.83,107.858,107.784,107.817,7088,1,0
11524,1568239200,107.817,108.048,107.776,108.016,6797,1,0
11525,1568246400,108.016,108.103,107.95,108.021,9764,1,0
11526,1568253600,108.022,108.172,107.996,108.095,5131,1,0
11527,1568260800,108.095,108.137,107.976,108.007,5514,1,0
11528,1568268000,108.008,108.039,107.898,107.909,6511,1,0
11529,1568275200,107.909,107.924,107.82,107.859,4071,1,0
11530,1568282400,107.859,107.902,107.691,107.75,9109,1,0
11531,1568289600,107.75,107.818,107.52,107.766,30155,50,0
11532,1568296800,107.766,108.088,107.656,107.976,25953,50,0
11533,1568304000,107.977,108.096,107.931,108.094,8518,50,0
11534,1568311200,108.094,108.19,108.061,108.136,4897,1,0
11535,1568318400,108.137,108.148,108.034,108.078,6625,1,0
11536,1568325600,108.079,108.193,108.078,108.184,2971,1,0
11537,1568332800,108.184,108.26,108.107,108.178,8148,1,0
11538,1568340000,108.178,108.203,108.145,108.172,2957,1,0
11539,1568347200,108.172,108.173,108.097,108.118,2773,1,0
11540,1568354400,108.117,108.117,107.904,107.957,9918,1,0
11541,1568361600,107.957,108.08,107.945,107.984,7315,1,0
11542,1568368800,107.985,108.024,107.954,107.967,3851,1,0
11543,1568376000,107.968,108.141,107.943,108.06,10598,50,0
11544,1568383200,108.061,108.155,108.034,108.122,9778,1,0
11545,1568390400,108.123,108.181,108.067,108.068,5273,1,0
11546,1568397600,108.067,108.157,108.067,108.115,4372,1,0
11547,1568404800,108.115,108.135,108.069,108.109,1614,1,0
11548,1568577600,107.547,107.715,107.537,107.708,962,1,0
11549,1568584800,107.708,107.913,107.677,107.76,11912,1,0
11550,1568592000,107.761,107.777,107.497,107.752,11587,1,0
11551,1568599200,107.75,107.858,107.693,107.857,4674,1,0
11552,1568606400,107.857,107.907,107.775,107.861,3180,1,0
11553,1568613600,107.862,107.934,107.806,107.857,6912,1,0
11554,1568620800,107.857,107.934,107.688,107.735,6545,1,0
11555,1568628000,107.735,107.81,107.678,107.793,5924,1,0
